feature,effect
P_doze_mean_Z,0.6786612080729723
Phase_sd_Z,0.6359979889391656
total_bouts_mean_Z,0.5734752675853143
frag_bouts_per_hour_mean_Z,0.5713916119406773
night_bouts_mean_Z,0.5330183720153023
total_sleep_mean_Z,0.5170133260737817
mean_wake_bout_mean_Z,0.4527041585865113
night_sleep_mean_Z,0.44022020125639344
max_night_bout_mean_Z,0.41449400272929676
P_wake_mean_Z,0.4115260456845688
frag_bouts_per_min_sleep_mean_Z,0.40960218039802376
max_bout_mean_Z,0.38981828162560794
sleep_latency_mean_Z,0.3013725587823498
Amp_mean_Z,0.29042460195695463
day_sleep_mean_Z,0.24482134903971114
Phase_mean_Z,0.21942110177404353
mean_day_bout_mean_Z,0.2186421544912106
WASO_mean_Z,0.2125260360554479
mean_night_bout_mean_Z,0.20882712059182587
max_day_bout_mean_Z,0.19750119244430253
Amp_sd_Z,0.1735338204704216
day_bouts_mean_Z,0.16237776515203992
Mesor_sd_Z,0.15378655865322327
mean_bout_mean_Z,0.1484952955541187
Mesor_mean_Z,0.0
