cluster,feature,median,IQR,n
-1,night_sleep_mean_Z,-0.2171460386664002,1.3205936406557806,3
-1,total_sleep_mean_Z,0.4305657685309042,1.2155955079616612,3
-1,frag_bouts_per_min_sleep_mean_Z,-0.2082458406588438,0.8168645341833872,3
-1,max_bout_mean_Z,0.5717111533847358,1.328201151041752,3
-1,P_wake_mean_Z,-0.1937586141464143,0.8275568348641346,3
-1,mean_bout_mean_Z,0.0489901092403235,1.4004431255969783,3
-1,max_night_bout_mean_Z,-0.151574086765795,1.3348129751933349,3
-1,mean_night_bout_mean_Z,-0.2464704779270126,1.181121956263183,3
-1,sleep_latency_mean_Z,1.225327368488307,1.1036297494086162,3
-1,mean_wake_bout_mean_Z,-0.3199960980621589,0.8146397335583329,3
0,night_sleep_mean_Z,-0.5312553694403364,0.504268656021883,14
0,total_sleep_mean_Z,-0.5018264848877173,0.5204162369807986,14
0,frag_bouts_per_min_sleep_mean_Z,0.4117202850222515,1.1014765668929611,14
0,max_bout_mean_Z,-0.5436029180041545,0.16217577058460897,14
0,P_wake_mean_Z,0.4163598124109665,1.090932818776335,14
0,mean_bout_mean_Z,-0.5023731980816319,0.25679179152380865,14
0,max_night_bout_mean_Z,-0.5287308952417398,0.16257337518380355,14
0,mean_night_bout_mean_Z,-0.4969051851173928,0.2432491464325977,14
0,sleep_latency_mean_Z,0.12833456774451893,1.2377909259905056,14
0,mean_wake_bout_mean_Z,-0.1900579870834008,1.169467074015191,14
