feature,p_value,FDR
night_sleep_mean_Z,0.009967051195103422,0.05212217248169005
total_sleep_mean_Z,0.01042443449633801,0.05212217248169005
frag_bouts_per_min_sleep_mean_Z,0.11764350661290494,0.15792948539606283
max_bout_mean_Z,0.03863057674652922,0.07726115349305844
P_wake_mean_Z,0.11764350661290494,0.15792948539606283
mean_bout_mean_Z,0.17696219485516557,0.18486694784412797
max_night_bout_mean_Z,0.03863057674652922,0.07726115349305844
mean_night_bout_mean_Z,0.12634358831685027,0.15792948539606283
sleep_latency_mean_Z,0.18486694784412797,0.18486694784412797
mean_wake_bout_mean_Z,0.03085744532680359,0.07726115349305844
